time,INTERNALENERGY,KINETICENERGY,X-MOMENTUM,Y-MOMENTUM,Z-MOMENTUM,MASS,TIMESTEP,ROTATIONENERGY,EXTERNALWORK,SPRINGENERGY,CONTACTENERGY,HOURGLASSENERGY,ELASTICCONTACTENERGY,FRICTIONALCONTACTENERGY,DAMPINGCONTACTENERGY,PLASTICWORK,ADDEDMASS,PERCENTAGEADDEDMASS,INLETMASS,OUTLETMASS,INLETENERGY,OUTLETENERGY,TH_Measuring_Nodes1000002var23,TH_Measuring_Nodes1000002var24,TH_Measuring_Nodes1000002var25,TH_Measuring_Nodes1000002var26,TH_Measuring_Nodes1000002var27,TH_Measuring_Nodes1000002var28,THRBODY1Fixed_End_RBODYvar29,THRBODY1Fixed_End_RBODYvar30,THRBODY1Fixed_End_RBODYvar31,THRBODY1Fixed_End_RBODYvar32,THRBODY1Fixed_End_RBODYvar33,THRBODY1Fixed_End_RBODYvar34,THRBODY1Fixed_End_RBODYvar35,THRBODY1Fixed_End_RBODYvar36,THRBODY1Fixed_End_RBODYvar37,THRBODY2Moving_End_RBODYvar38,THRBODY2Moving_End_RBODYvar39,THRBODY2Moving_End_RBODYvar40,THRBODY2Moving_End_RBODYvar41,THRBODY2Moving_End_RBODYvar42,THRBODY2Moving_End_RBODYvar43,THRBODY2Moving_End_RBODYvar44,THRBODY2Moving_End_RBODYvar45,THRBODY2Moving_End_RBODYvar46
2.001472e-04,8.015541e+02,1.491771e+01,3.123135e-02,-7.364661e-05,-1.391181e-18,5.866953e-05,1.792343e-07,7.459220e-30,8.165029e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.964168e-01,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.001472e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,7.889085e-01,7.152744e-05,-3.933390e-19,-1.892241e-18,-6.028506e-18,-1.042509e-02,0.000000e+00,0.000000e+00,0.000000e+00,-8.143634e-01,2.162554e-06,1.861773e-18,4.758555e-18,3.105116e-17,1.721864e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.100053e-04,8.797311e+02,2.327334e+01,4.372979e-02,-5.337988e-05,-1.357600e-18,5.866953e-05,1.792444e-07,1.236440e-29,9.030358e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.038750e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.100053e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,8.629788e-01,7.204322e-05,1.270549e-18,-1.892040e-18,-1.712972e-17,-1.167943e-02,0.000000e+00,0.000000e+00,0.000000e+00,-9.007842e-01,-1.837759e-05,1.142587e-19,-2.230959e-19,1.178002e-17,2.485523e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.200434e-04,9.642190e+02,1.957023e+01,4.246054e-02,-2.858602e-05,1.161628e-18,5.866953e-05,1.792647e-07,1.417544e-29,9.838316e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.530372e+00,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.200434e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,9.451830e-01,5.807469e-05,-5.529578e-20,1.717834e-18,-2.070218e-18,-1.336093e-02,0.000000e+00,0.000000e+00,0.000000e+00,-9.816865e-01,-2.974397e-05,-1.160310e-18,4.679934e-18,-2.295116e-18,3.326046e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.300826e-04,1.056755e+03,1.345881e+01,3.060340e-02,-3.508110e-05,-6.690365e-20,5.866953e-05,1.792741e-07,1.656055e-29,1.070251e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.657713e+01,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.300826e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.043540e+00,8.907671e-05,1.597837e-18,2.648592e-18,-1.365693e-17,-1.477410e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.067964e+00,-5.409451e-05,-1.620234e-18,5.728915e-18,-7.958288e-18,3.940179e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.401220e-04,1.146491e+03,1.159105e+01,2.076229e-02,-5.135034e-05,-3.210821e-18,5.866953e-05,1.792789e-07,2.189436e-29,1.158115e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.841296e+01,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.401220e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.141183e+00,9.885398e-06,3.563604e-18,7.391873e-18,-3.131332e-17,-1.790805e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.155933e+00,4.104769e-05,-3.401343e-19,7.488509e-18,8.750820e-18,2.656798e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.501619e-04,1.239652e+03,9.508900e+00,2.208609e-02,2.244392e-05,-1.497400e-18,5.866953e-05,1.792865e-07,2.304683e-29,1.249203e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.423295e+02,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.501619e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.230904e+00,7.324698e-06,9.757878e-19,1.795677e-19,-6.059876e-18,-1.988564e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.247061e+00,-3.008918e-05,5.535526e-19,5.954736e-18,2.269258e-17,3.741480e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.600228e-04,1.333133e+03,9.433259e+00,2.271748e-02,-6.903223e-06,2.484426e-18,5.866953e-05,1.792924e-07,2.461505e-29,1.342607e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.957854e+02,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.600228e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.323740e+00,4.684775e-05,-9.921137e-19,-4.973370e-18,2.364137e-17,-2.081034e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.340464e+00,-3.990869e-05,-1.480077e-18,-3.116489e-18,1.064635e-17,4.539275e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.700634e-04,1.430396e+03,1.087351e+01,2.808133e-02,-1.893687e-05,-8.732048e-19,5.866953e-05,1.792942e-07,2.506972e-29,1.441308e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.333861e+02,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.700634e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.417079e+00,6.279820e-05,-1.352969e-18,5.696603e-19,3.730791e-17,-2.227054e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.439216e+00,-4.345239e-05,2.248685e-18,4.433680e-18,5.436196e-17,4.745665e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.801041e-04,1.528638e+03,1.473639e+01,3.225592e-02,-7.944909e-06,-5.597019e-21,5.866953e-05,1.792997e-07,2.543955e-29,1.543415e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.926323e+02,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.801041e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.515036e+00,2.800784e-05,-1.778257e-18,-7.573813e-18,5.096000e-17,-2.460063e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.541317e+00,-2.002959e-05,1.745586e-18,-1.779561e-18,5.463219e-17,4.459266e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.901449e-04,1.628559e+03,1.417101e+01,3.281228e-02,-4.503876e-06,3.982865e-18,5.866953e-05,1.793026e-07,2.436045e-29,1.642773e+03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.607370e+02,1.355253e-20,2.309977e-14,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.901449e-01,0.000000e+00,0.000000e+00,1.000000e+03,0.000000e+00,0.000000e+00,1.613842e+00,3.120827e-05,-5.458210e-18,-1.798797e-18,9.332354e-17,-2.639816e-02,0.000000e+00,0.000000e+00,0.000000e+00,-1.640666e+00,-2.669647e-05,1.395899e-18,1.850583e-17,5.360028e-17,4.669736e-03,0.000000e+00,0.000000e+00,0.000000e+00
